keyword,title,price,rating,reviews,platform,delivery,brand,price_range,popularity_score,raw_price,discount
office chair ergonomic,Boat office chair ergonomic Model 668,1919.0,2.9,1430,croma,2 days,Boat,low-Budget,21.071773460713707,1919.0,0
microwave oven convection,Samsung microwave oven convection Model 132,2008.0,4.8,2465,croma,5 days,Samsung,low-Budget,37.489692881876586,2008.0,0
microwave oven convection,Nike microwave oven convection Model 675,2014.0,3.7,1428,reliance digital,5 days,Nike,low-Budget,26.879501658340512,2014.0,0
office chair ergonomic,Philips office chair ergonomic Model 733,2022.0,3.7,4021,flipkart,2 days,Philips,low-Budget,30.70827791023061,2022.0,0
office chair ergonomic,Philips office chair ergonomic Model 733,2022.0,3.7,2679,flipkart,2 days,Philips,low-Budget,29.20621667196814,2022.0,0
power bank fast charging,Samsung power bank fast charging Model 292,2027.0,5.0,939,amazon,5 days,Samsung,low-Budget,34.229399376320245,2027.0,0
men running shoes,Sony men running shoes Model 547,2086.0,4.6,2882,croma,2 days,Sony,low-Budget,36.646298809136646,2086.0,0
power bank fast charging,Sony power bank fast charging Model 726,2163.0,3.5,1528,reliance digital,free delivery,Sony,low-Budget,25.663292220751718,2163.0,0
microwave oven convection,HP microwave oven convection Model 594,2169.0,3.6,3203,amazon,free delivery,HP,low-Budget,29.059759109477703,2169.0,0
men running shoes,Dell men running shoes Model 536,2176.0,3.8,2031,croma,5 days,Dell,low-Budget,28.943748073053815,2176.0,0
office chair ergonomic,Sony office chair ergonomic Model 587,2295.0,3.9,4417,croma,5 days,Sony,low-Budget,32.73442529752224,2295.0,0
microwave oven convection,Dell microwave oven convection Model 877,2507.0,4.7,3446,flipkart,free delivery,Dell,low-Budget,38.282719962629265,2507.0,0
men running shoes,Boat men running shoes Model 839,2510.0,2.5,3356,croma,2 days,Boat,low-Budget,20.29700749245009,2510.0,0
microwave oven convection,Nike microwave oven convection Model 140,2510.0,4.5,4517,croma,free delivery,Nike,low-Budget,37.87121113662577,2510.0,0
microwave oven convection,Samsung microwave oven convection Model 326,2525.0,3.9,3415,croma,5 days,Samsung,low-Budget,31.731279664142992,2525.0,0
office chair ergonomic,Nike office chair ergonomic Model 983,2556.0,3.3,951,flipkart,free delivery,Nike,low-Budget,22.6332646148115,2556.0,0
power bank fast charging,Samsung power bank fast charging Model 461,2621.0,4.9,112,amazon,free delivery,Samsung,low-Budget,23.164200311690472,2621.0,0
power bank fast charging,HP power bank fast charging Model 544,2627.0,4.7,512,amazon,free delivery,HP,low-Budget,29.329296472302616,2627.0,0
microwave oven convection,Dell microwave oven convection Model 467,2674.0,4.7,1877,amazon,2 days,Dell,low-Budget,35.42842450091058,2674.0,0
microwave oven convection,Dell microwave oven convection Model 991,2702.0,4.1,1510,amazon,free delivery,Dell,low-Budget,30.01416054531823,2702.0,0
office chair ergonomic,Boat office chair ergonomic Model 688,2783.0,3.1,1997,reliance digital,5 days,Boat,low-Budget,23.559696073546345,2783.0,0
air fryer India,Dell air fryer India Model 411,2793.0,4.1,804,flipkart,free delivery,Dell,low-Budget,27.43245333741611,2793.0,0
microwave oven convection,Boat microwave oven convection Model 754,2828.0,3.2,1712,reliance digital,5 days,Boat,low-Budget,23.827204794637183,2828.0,0
men running shoes,Dell men running shoes Model 450,2830.0,2.9,3675,amazon,2 days,Dell,low-Budget,23.80778340207917,2830.0,0
office chair ergonomic,Samsung office chair ergonomic Model 134,2841.0,3.7,3132,croma,5 days,Samsung,low-Budget,29.784061276523108,2841.0,0
men running shoes,Samsung men running shoes Model 589,2849.0,2.7,4466,amazon,2 days,Samsung,low-Budget,22.692075267650722,2849.0,0
power bank fast charging,Samsung power bank fast charging Model 567,2958.0,4.1,4103,croma,2 days,Samsung,low-Budget,34.11084128608748,2958.0,0
air fryer India,HP air fryer India Model 122,3007.0,3.0,798,flipkart,free delivery,HP,low-Budget,20.050082837298824,3007.0,0
office chair ergonomic,HP office chair ergonomic Model 586,3054.0,3.7,2790,reliance digital,2 days,HP,low-Budget,29.356374364084395,3054.0,0
office chair ergonomic,HP office chair ergonomic Model 586,3054.0,3.5,2790,reliance digital,2 days,HP,low-Budget,27.769543317377128,3054.0,0
air fryer India,LG air fryer India Model 237,3117.0,3.7,748,croma,free delivery,LG,low-Budget,24.48933423901371,3117.0,0
men running shoes,Boat men running shoes Model 961,3146.0,2.9,521,amazon,free delivery,Boat,low-Budget,18.147236004859653,3146.0,0
microwave oven convection,HP microwave oven convection Model 268,3182.0,3.3,278,flipkart,free delivery,HP,low-Budget,18.582998880010503,3182.0,0
microwave oven convection,Sony microwave oven convection Model 208,3190.0,3.7,3485,reliance digital,free delivery,Sony,low-Budget,30.179087836495878,3190.0,0
power bank fast charging,Philips power bank fast charging Model 481,3252.0,4.4,4842,amazon,free delivery,Philips,low-Budget,37.33527442657421,3252.0,0
air fryer India,Dell air fryer India Model 399,3266.0,3.2,3596,amazon,free delivery,Dell,low-Budget,26.201137419825997,3266.0,0
microwave oven convection,Nike microwave oven convection Model 418,3327.0,4.4,1863,flipkart,free delivery,Nike,low-Budget,33.134111979080366,3327.0,0
microwave oven convection,LG microwave oven convection Model 315,3378.0,2.8,1762,reliance digital,2 days,LG,low-Budget,20.929362110714035,3378.0,0
microwave oven convection,LG microwave oven convection Model 315,3378.0,4.0,1762,reliance digital,2 days,LG,low-Budget,29.89908872959148,3378.0,0
air fryer India,LG air fryer India Model 521,3501.0,2.7,4874,flipkart,2 days,LG,low-Budget,22.92806353526626,3501.0,0
power bank fast charging,Puma power bank fast charging Model 877,3589.0,3.1,2943,amazon,2 days,Puma,low-Budget,24.76132588753118,3589.0,0
microwave oven convection,HP microwave oven convection Model 133,3630.0,3.7,4648,amazon,free delivery,HP,low-Budget,31.244307460255165,3630.0,0
men running shoes,Philips men running shoes Model 919,3772.0,3.8,1377,croma,2 days,Philips,low-Budget,27.467876115979696,3772.0,0
air fryer India,LG air fryer India Model 884,3840.0,4.9,2735,croma,5 days,LG,low-Budget,38.77983616583796,3840.0,0
power bank fast charging,HP power bank fast charging Model 824,3841.0,3.8,1977,amazon,5 days,HP,low-Budget,28.841397746294096,3841.0,0
air fryer India,Samsung air fryer India Model 611,3868.0,2.7,4042,croma,2 days,Samsung,low-Budget,22.422804128030084,3868.0,0
office chair ergonomic,Boat office chair ergonomic Model 391,3892.0,2.8,1107,reliance digital,free delivery,Boat,low-Budget,19.62887322846024,3892.0,0
office chair ergonomic,Puma office chair ergonomic Model 150,3938.0,3.3,270,amazon,free delivery,Puma,low-Budget,18.486992108903014,3938.0,0
power bank fast charging,LG power bank fast charging Model 398,4006.0,3.9,3536,reliance digital,free delivery,LG,low-Budget,31.867033337901372,4006.0,0
men running shoes,Dell men running shoes Model 200,4014.0,3.4,3811,flipkart,2 days,Dell,low-Budget,28.036091500231915,4014.0,0
air fryer India,Sony air fryer India Model 556,4039.0,3.1,2150,amazon,5 days,Sony,low-Budget,23.788433200729965,4039.0,0
power bank fast charging,Boat power bank fast charging Model 239,4103.0,4.7,4335,amazon,2 days,Boat,low-Budget,39.36112545266157,4103.0,0
men running shoes,LG men running shoes Model 141,4134.0,3.5,2553,reliance digital,2 days,LG,low-Budget,27.458956128073698,4134.0,0
office chair ergonomic,Nike office chair ergonomic Model 597,4149.0,3.6,2704,reliance digital,5 days,Nike,low-Budget,28.450285888610093,4149.0,0
power bank fast charging,Boat power bank fast charging Model 133,4165.0,3.4,2655,croma,5 days,Boat,low-Budget,26.8075601360275,4165.0,0
power bank fast charging,Samsung power bank fast charging Model 858,4182.0,4.4,2560,amazon,free delivery,Samsung,low-Budget,34.531873579277914,4182.0,0
office chair ergonomic,Samsung office chair ergonomic Model 666,4203.0,4.0,3908,croma,5 days,Samsung,low-Budget,33.08414746317182,4203.0,0
microwave oven convection,HP microwave oven convection Model 639,4261.0,2.7,2230,flipkart,5 days,HP,low-Budget,20.81755402496784,4261.0,0
microwave oven convection,Sony microwave oven convection Model 440,4334.0,2.5,2041,flipkart,5 days,Sony,low-Budget,19.054212496811527,4334.0,0
microwave oven convection,LG microwave oven convection Model 208,4378.0,3.8,646,amazon,2 days,LG,low-Budget,24.59491591910342,4378.0,0
office chair ergonomic,Philips office chair ergonomic Model 658,4438.0,4.4,40,amazon,5 days,Philips,low-Budget,16.339717093498955,4438.0,0
microwave oven convection,Boat microwave oven convection Model 217,4482.0,3.2,779,croma,2 days,Boat,low-Budget,21.30974054298764,4482.0,0
microwave oven convection,Nike microwave oven convection Model 917,4484.0,3.0,3422,reliance digital,5 days,Nike,low-Budget,24.414817915590557,4484.0,0
men running shoes,Philips men running shoes Model 661,4516.0,4.6,1771,flipkart,2 days,Philips,low-Budget,34.40737500335912,4516.0,0
men running shoes,Boat men running shoes Model 131,4525.0,4.3,60,amazon,free delivery,Boat,low-Budget,17.676757615945238,4525.0,0
office chair ergonomic,Philips office chair ergonomic Model 836,4564.0,3.0,1540,amazon,free delivery,Philips,low-Budget,22.020560505960347,4564.0,0
office chair ergonomic,Nike office chair ergonomic Model 625,4607.0,2.9,1964,reliance digital,5 days,Nike,low-Budget,21.991417820479747,4607.0,0
microwave oven convection,Sony microwave oven convection Model 852,4773.0,4.5,3005,croma,2 days,Sony,low-Budget,36.03764506640814,4773.0,0
microwave oven convection,Sony microwave oven convection Model 369,4789.0,4.6,589,amazon,5 days,Sony,low-Budget,29.348563669738915,4789.0,0
power bank fast charging,Philips power bank fast charging Model 149,4795.0,4.1,942,croma,2 days,Philips,low-Budget,28.081171758797172,4795.0,0
microwave oven convection,LG microwave oven convection Model 638,4845.0,4.5,2320,croma,5 days,LG,low-Budget,34.87389032823497,4845.0,0
power bank fast charging,Boat power bank fast charging Model 254,4855.0,4.8,2336,reliance digital,free delivery,Boat,low-Budget,37.23179200578652,4855.0,0
air fryer India,Puma air fryer India Model 818,4964.0,4.1,732,flipkart,5 days,Puma,low-Budget,27.048297377735267,4964.0,0
office chair ergonomic,Boat office chair ergonomic Model 178,5007.0,4.5,543,amazon,2 days,Boat,Mid-Range,28.34527161085174,5007.0,0
men running shoes,Dell men running shoes Model 605,5013.0,4.4,511,flipkart,free delivery,Dell,Mid-Range,27.448628350173838,5013.0,0
air fryer India,Philips air fryer India Model 545,5049.0,4.4,557,amazon,2 days,Philips,Mid-Range,27.82717943447777,5049.0,0
microwave oven convection,Sony microwave oven convection Model 224,5069.0,4.3,2597,reliance digital,2 days,Sony,Mid-Range,33.80873794809134,5069.0,0
office chair ergonomic,Dell office chair ergonomic Model 133,5073.0,3.3,515,reliance digital,2 days,Dell,Mid-Range,20.612152326089156,5073.0,0
microwave oven convection,LG microwave oven convection Model 152,5102.0,2.8,2118,reliance digital,5 days,LG,Mid-Range,21.444358763151236,5102.0,0
power bank fast charging,Sony power bank fast charging Model 896,5150.0,5.0,2220,croma,2 days,Sony,Mid-Range,38.528564119472136,5150.0,0
office chair ergonomic,Dell office chair ergonomic Model 197,5177.0,3.6,764,croma,free delivery,Dell,Mid-Range,23.903553001775528,5177.0,0
air fryer India,HP air fryer India Model 506,5202.0,3.6,2195,croma,2 days,HP,Mid-Range,27.699814089465917,5202.0,0
men running shoes,Nike men running shoes Model 985,5261.0,4.0,947,reliance digital,2 days,Nike,Mid-Range,27.417418009020086,5261.0,0
power bank fast charging,Samsung power bank fast charging Model 562,5331.0,3.8,4124,reliance digital,5 days,Samsung,Mid-Range,31.63432093532137,5331.0,0
power bank fast charging,LG power bank fast charging Model 927,5380.0,2.6,1069,croma,free delivery,LG,Mid-Range,18.136076211385475,5380.0,0
office chair ergonomic,Philips office chair ergonomic Model 849,5498.0,2.9,1932,amazon,free delivery,Philips,Mid-Range,21.94380258970416,5498.0,0
air fryer India,Samsung air fryer India Model 883,5559.0,3.9,3803,croma,free delivery,Samsung,Mid-Range,32.15085285229459,5559.0,0
men running shoes,Sony men running shoes Model 835,5646.0,4.2,3419,amazon,5 days,Sony,Mid-Range,34.177062486237936,5646.0,0
air fryer India,Dell air fryer India Model 150,5659.0,4.2,270,amazon,5 days,Dell,Mid-Range,23.528899047694747,5659.0,0
microwave oven convection,Dell microwave oven convection Model 663,5712.0,4.2,1139,amazon,5 days,Dell,Mid-Range,29.562890873831876,5712.0,0
men running shoes,Nike men running shoes Model 799,5743.0,3.8,1695,flipkart,5 days,Nike,Mid-Range,28.256905702137022,5743.0,0
men running shoes,LG men running shoes Model 272,5766.0,3.2,973,reliance digital,5 days,LG,Mid-Range,22.020516171656112,5766.0,0
power bank fast charging,LG power bank fast charging Model 926,5841.0,3.5,1593,croma,5 days,LG,Mid-Range,25.809006507725563,5841.0,0
power bank fast charging,Boat power bank fast charging Model 927,5855.0,4.7,3908,croma,2 days,Boat,Mid-Range,38.873873269226884,5855.0,0
power bank fast charging,HP power bank fast charging Model 815,5912.0,3.6,80,reliance digital,free delivery,HP,Mid-Range,15.820016956820782,5912.0,0
air fryer India,Puma air fryer India Model 766,5958.0,3.4,494,flipkart,2 days,Puma,Mid-Range,21.095496392733548,5958.0,0
office chair ergonomic,Nike office chair ergonomic Model 457,6006.0,3.4,1498,flipkart,free delivery,Nike,Mid-Range,24.86268189354883,6006.0,0
air fryer India,Nike air fryer India Model 642,6086.0,3.7,4274,flipkart,5 days,Nike,Mid-Range,30.93399571107219,6086.0,0
men running shoes,Nike men running shoes Model 692,6110.0,2.9,3598,croma,2 days,Nike,Mid-Range,23.74639279342919,6110.0,0
men running shoes,Philips men running shoes Model 921,6136.0,3.2,3343,croma,free delivery,Philips,Mid-Range,25.967753517454696,6136.0,0
air fryer India,HP air fryer India Model 735,6304.0,3.9,3336,amazon,5 days,HP,Mid-Range,31.640027167130356,6304.0,0
men running shoes,Philips men running shoes Model 769,6357.0,3.3,255,reliance digital,5 days,Philips,Mid-Range,18.299085566782555,6357.0,0
microwave oven convection,Boat microwave oven convection Model 875,6446.0,4.6,613,amazon,2 days,Boat,Mid-Range,29.53197666947685,6446.0,0
microwave oven convection,Boat microwave oven convection Model 520,6468.0,4.1,4876,amazon,free delivery,Boat,Mid-Range,34.818370778411214,6468.0,0
men running shoes,HP men running shoes Model 115,6514.0,3.7,2024,amazon,free delivery,HP,Mid-Range,28.169302424300366,6514.0,0
men running shoes,Nike men running shoes Model 445,6514.0,3.1,3970,amazon,free delivery,Nike,Mid-Range,25.688997016506878,6514.0,0
office chair ergonomic,Nike office chair ergonomic Model 716,6599.0,4.4,1617,flipkart,free delivery,Nike,Mid-Range,32.511362829521126,6599.0,0
power bank fast charging,HP power bank fast charging Model 232,6725.0,3.9,800,flipkart,free delivery,HP,Mid-Range,26.074857693566603,6725.0,0
power bank fast charging,Sony power bank fast charging Model 131,6862.0,3.9,1670,croma,5 days,Sony,Mid-Range,28.942592361522035,6862.0,0
microwave oven convection,Samsung microwave oven convection Model 533,6933.0,3.8,4407,croma,5 days,Samsung,Mid-Range,31.88647013316445,6933.0,0
men running shoes,Boat men running shoes Model 196,6965.0,4.7,281,amazon,free delivery,Boat,Mid-Range,26.516963233409136,6965.0,0
air fryer India,Nike air fryer India Model 938,6967.0,2.7,2732,reliance digital,5 days,Nike,Mid-Range,21.365519002005787,6967.0,0
men running shoes,LG men running shoes Model 597,6967.0,3.4,1700,reliance digital,2 days,LG,Mid-Range,25.29250341414593,6967.0,0
air fryer India,Dell air fryer India Model 753,6992.0,4.4,1002,flipkart,2 days,Dell,Mid-Range,30.40730346703252,6992.0,0
men running shoes,Sony men running shoes Model 458,7058.0,3.1,516,reliance digital,2 days,Sony,Mid-Range,19.36893291097613,7058.0,0
men running shoes,Dell men running shoes Model 531,7064.0,4.9,2725,reliance digital,2 days,Dell,Mid-Range,38.76189400005674,7064.0,0
office chair ergonomic,Nike office chair ergonomic Model 206,7079.0,3.8,3238,amazon,free delivery,Nike,Mid-Range,30.71547569285105,7079.0,0
power bank fast charging,Puma power bank fast charging Model 586,7191.0,3.9,1373,croma,2 days,Puma,Mid-Range,28.17937774385095,7191.0,0
microwave oven convection,Puma microwave oven convection Model 554,7198.0,4.8,4075,amazon,5 days,Puma,Mid-Range,39.90178269284455,7198.0,0
power bank fast charging,Boat power bank fast charging Model 410,7209.0,3.8,4713,flipkart,free delivery,Boat,Mid-Range,32.141509917285084,7209.0,0
office chair ergonomic,Samsung office chair ergonomic Model 796,7217.0,4.3,4830,reliance digital,2 days,Samsung,Mid-Range,36.476077687583945,7217.0,0
air fryer India,Nike air fryer India Model 258,7313.0,4.8,4820,amazon,5 days,Nike,Mid-Range,40.70753594114698,7313.0,0
office chair ergonomic,Dell office chair ergonomic Model 884,7331.0,4.1,2179,reliance digital,free delivery,Dell,Mid-Range,31.51702863871085,7331.0,0
men running shoes,Boat men running shoes Model 987,7350.0,4.4,1199,amazon,free delivery,Boat,Mid-Range,31.196338077414808,7350.0,0
men running shoes,Philips men running shoes Model 691,7350.0,3.6,2998,amazon,free delivery,Philips,Mid-Range,28.821723043496437,7350.0,0
men running shoes,LG men running shoes Model 260,7350.0,3.8,2107,amazon,free delivery,LG,Mid-Range,29.083280656712763,7350.0,0
men running shoes,Nike men running shoes Model 881,7350.0,4.3,3162,amazon,free delivery,Nike,Mid-Range,34.65488776021429,7350.0,0
office chair ergonomic,LG office chair ergonomic Model 187,7370.0,4.9,324,flipkart,5 days,LG,Mid-Range,28.340743393415714,7370.0,0
air fryer India,Sony air fryer India Model 991,7436.0,4.9,1081,flipkart,free delivery,Sony,Mid-Range,34.23417565109149,7436.0,0
men running shoes,Philips men running shoes Model 659,7470.0,3.5,3046,croma,2 days,Philips,Mid-Range,28.07669472644998,7470.0,0
men running shoes,Samsung men running shoes Model 785,7514.0,3.1,4026,reliance digital,5 days,Samsung,Mid-Range,25.73240857863951,7514.0,0
office chair ergonomic,Puma office chair ergonomic Model 799,7517.0,3.7,2856,croma,2 days,Puma,Mid-Range,29.44285138825386,7517.0,0
power bank fast charging,LG power bank fast charging Model 620,7596.0,2.5,3981,flipkart,2 days,LG,Mid-Range,20.723848711560354,7596.0,0
office chair ergonomic,LG office chair ergonomic Model 100,7656.0,4.7,778,croma,5 days,LG,Mid-Range,31.29265191559252,7656.0,0
microwave oven convection,Sony microwave oven convection Model 482,7782.0,3.3,2054,croma,2 days,Sony,Mid-Range,25.172502718870103,7782.0,0
office chair ergonomic,Boat office chair ergonomic Model 509,7810.0,2.9,3143,croma,2 days,Boat,Mid-Range,23.35442834529238,7810.0,0
microwave oven convection,Puma microwave oven convection Model 243,7911.0,4.3,3020,reliance digital,2 days,Puma,Mid-Range,34.45737567996269,7911.0,0
power bank fast charging,Puma power bank fast charging Model 333,7947.0,3.3,3734,croma,5 days,Puma,Mid-Range,27.14416022197083,7947.0,0
microwave oven convection,LG microwave oven convection Model 306,8035.0,4.7,4121,reliance digital,5 days,LG,Mid-Range,39.123240678816906,8035.0,0
power bank fast charging,Sony power bank fast charging Model 720,8143.0,5.0,1895,amazon,2 days,Sony,Mid-Range,37.73750841407483,8143.0,0
office chair ergonomic,Nike office chair ergonomic Model 378,8156.0,4.8,1246,croma,5 days,Nike,Mid-Range,34.21678053926417,8156.0,0
office chair ergonomic,HP office chair ergonomic Model 478,8156.0,3.5,89,croma,5 days,HP,Mid-Range,15.749333846155928,8156.0,0
microwave oven convection,Nike microwave oven convection Model 509,8160.0,3.9,4917,reliance digital,free delivery,Nike,Mid-Range,33.15256316882694,8160.0,0
power bank fast charging,HP power bank fast charging Model 730,8200.0,2.7,633,flipkart,5 days,HP,Mid-Range,17.42053217698051,8200.0,0
air fryer India,Dell air fryer India Model 238,8235.0,3.0,351,croma,5 days,Dell,Mid-Range,17.59089352679429,8235.0,0
office chair ergonomic,Dell office chair ergonomic Model 372,8277.0,3.6,389,croma,2 days,Dell,Mid-Range,21.478128260845292,8277.0,0
power bank fast charging,Dell power bank fast charging Model 817,8299.0,3.7,2691,flipkart,5 days,Dell,Mid-Range,29.22274685582909,8299.0,0
men running shoes,Sony men running shoes Model 393,8312.0,4.8,441,croma,free delivery,Sony,Mid-Range,29.23828743397295,8312.0,0
men running shoes,Dell men running shoes Model 900,8466.0,3.2,3377,croma,2 days,Dell,Mid-Range,26.000125111576786,8466.0,0
men running shoes,Nike men running shoes Model 469,8496.0,4.5,969,croma,2 days,Nike,Mid-Range,30.947832321738428,8496.0,0
microwave oven convection,Puma microwave oven convection Model 765,8497.0,2.6,1408,croma,2 days,Puma,Mid-Range,18.851652330936567,8497.0,0
men running shoes,LG men running shoes Model 675,8539.0,2.8,1189,reliance digital,2 days,LG,Mid-Range,19.82878404109561,8539.0,0
air fryer India,Nike air fryer India Model 536,8598.0,3.3,1641,croma,5 days,Nike,Mid-Range,24.43211195704083,8598.0,0
office chair ergonomic,Boat office chair ergonomic Model 710,8682.0,4.5,3068,flipkart,free delivery,Boat,Mid-Range,36.130981745788816,8682.0,0
office chair ergonomic,Puma office chair ergonomic Model 417,8744.0,4.9,3832,croma,2 days,Puma,Mid-Range,40.43187502036473,8744.0,0
air fryer India,Samsung air fryer India Model 811,8748.0,3.9,2245,amazon,2 days,Samsung,Mid-Range,30.095933927663715,8748.0,0
men running shoes,Philips men running shoes Model 437,8752.0,4.7,3962,amazon,5 days,Philips,Mid-Range,38.938355987995045,8752.0,0
air fryer India,LG air fryer India Model 428,8757.0,4.9,2023,croma,free delivery,LG,Mid-Range,37.30287204899605,8757.0,0
microwave oven convection,HP microwave oven convection Model 564,8799.0,3.5,4884,amazon,free delivery,HP,Mid-Range,29.72873597566909,8799.0,0
office chair ergonomic,Philips office chair ergonomic Model 989,8904.0,3.0,3739,amazon,2 days,Philips,Mid-Range,24.680522671225734,8904.0,0
office chair ergonomic,Nike office chair ergonomic Model 106,8923.0,4.6,2822,flipkart,5 days,Nike,Mid-Range,36.549554969966046,8923.0,0
power bank fast charging,Puma power bank fast charging Model 131,8933.0,3.8,143,amazon,2 days,Puma,Mid-Range,18.8852905383888,8933.0,0
power bank fast charging,Puma power bank fast charging Model 415,8944.0,3.7,2974,amazon,2 days,Puma,Mid-Range,29.592597476525,8944.0,0
air fryer India,Puma air fryer India Model 696,8987.0,4.8,2999,reliance digital,free delivery,Puma,Mid-Range,38.43056432472118,8987.0,0
microwave oven convection,Sony microwave oven convection Model 848,9020.0,3.0,1410,amazon,2 days,Sony,Mid-Range,21.756161855558442,9020.0,0
microwave oven convection,Boat microwave oven convection Model 255,9089.0,4.1,3138,croma,5 days,Boat,Mid-Range,33.01180418305201,9089.0,0
power bank fast charging,HP power bank fast charging Model 100,9092.0,3.8,811,croma,free delivery,HP,Mid-Range,25.458101292614376,9092.0,0
men running shoes,Philips men running shoes Model 418,9160.0,3.7,2887,amazon,5 days,Philips,Mid-Range,29.482782150047054,9160.0,0
air fryer India,Nike air fryer India Model 458,9171.0,2.5,3658,reliance digital,2 days,Nike,Mid-Range,20.51236291254802,9171.0,0
power bank fast charging,HP power bank fast charging Model 103,9195.0,4.3,426,amazon,5 days,HP,Mid-Range,26.044171256883086,9195.0,0
air fryer India,HP air fryer India Model 618,9220.0,2.9,326,croma,free delivery,HP,Mid-Range,16.790884495602036,9220.0,0
office chair ergonomic,Dell office chair ergonomic Model 249,9264.0,3.3,609,reliance digital,free delivery,Dell,Mid-Range,21.16441455865228,9264.0,0
microwave oven convection,Sony microwave oven convection Model 983,9278.0,3.2,937,amazon,free delivery,Sony,Mid-Range,21.89999983681992,9278.0,0
men running shoes,HP men running shoes Model 911,9329.0,4.5,418,amazon,5 days,HP,Mid-Range,27.170419139649617,9329.0,0
office chair ergonomic,Boat office chair ergonomic Model 303,9335.0,3.7,844,reliance digital,free delivery,Boat,Mid-Range,24.935545521221545,9335.0,0
